name,link,price,location,picture,installment,extra,day,site
Plava de vídeo gtx 1060 6gb DDR 5,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/plava-de-video-gtx-1060-6gb-ddr-5-1404796574,R$ 750,"Contagem, Glória",https://img.olx.com.br/images/77/777522645173697.webp,"3x de R$ 250,00","['Entrega Fácil', 'Pague Online', 'Parcelamento sem juros']","18 de mai, 08:09",OLX
"EVGA GeForce RTX 2060 SUPER SC BLACK GAMING, 8 GB GDDR6, dois ventiladores",https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/evga-geforce-rtx-2060-super-sc-black-gaming-8-gb-gddr6-dois-ventiladores-1411386867,R$ 1.200,"Belo Horizonte, Jardim dos Comerciários (Venda Nova)",https://img.olx.com.br/images/88/880578656503594.webp,"3x de R$ 400,00","['Pague Online', 'Parcelamento sem juros']","Ontem, 23:38",OLX
Gigabyte GTX 1060 3Gb DDR5,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/gigabyte-gtx-1060-3gb-ddr5-1411384231,R$ 550,"Belo Horizonte, Teixeira Dias (Barreiro)",https://img.olx.com.br/images/42/422556779100125.webp,"3x de R$ 183,33","['Pague Online', 'Parcelamento sem juros']","Ontem, 23:22",OLX
RX 6600 8GB Gddr6 ASUS dual oc,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/rx-6600-8gb-gddr6-asus-dual-oc-1411382602,R$ 1.199,"Betim, Vila Cristina",https://img.olx.com.br/images/80/800504411123257.webp,"3x de R$ 399,67","['Entrega Fácil', 'Pague Online', 'Parcelamento sem juros']","Ontem, 23:08",OLX
RTX 3070 Gainward,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/rtx-3070-gainward-1411363416,R$ 2.250,"Conselheiro Lafaiete, Santa Matilde",https://img.olx.com.br/images/57/577574291450633.webp,"3x de R$ 750,00","['Pague Online', 'Parcelamento sem juros']","Ontem, 21:29",OLX
RTX 4080 16GB ASUS TUF,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/rtx-4080-16gb-asus-tuf-1411358552,R$ 7.990,"Belo Horizonte, São Geraldo",https://img.olx.com.br/images/16/168569533870639.webp,"3x de R$ 2.663,33","['Entrega Fácil', 'Pague Online', 'Parcelamento sem juros']","Ontem, 21:03",OLX
Vendo GTX 1070 TI SSC EVGA 8GB,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/vendo-gtx-1070-ti-ssc-evga-8gb-1411357874,R$ 1.100,"Belo Horizonte, Santa Margarida (Barreiro)",https://img.olx.com.br/images/10/106507177093197.webp,"3x de R$ 366,67","['Pague Online', 'Parcelamento sem juros']","Ontem, 20:59",OLX
RX 6700XT Red Devil 12GB,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/rx-6700xt-red-devil-12gb-1411331907,R$ 1.990,"Betim, São João",https://img.olx.com.br/images/43/434581890150900.webp,"3x de R$ 663,33","['Pague Online', 'Parcelamento sem juros']","Ontem, 19:20",OLX
Galaxy GTX 1650 4Gb DDR6,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/galaxy-gtx-1650-4gb-ddr6-1411328233,R$ 620,"Belo Horizonte, Teixeira Dias (Barreiro)",https://img.olx.com.br/images/75/756543291869255.webp,"3x de R$ 206,67","['Pague Online', 'Parcelamento sem juros']","Ontem, 19:08",OLX
"RTX 5060, GALAX EX, 8 GB, GDDR7 - ENVIO P/TODO BR",https://mg.olx.com.br/regiao-de-juiz-de-fora/informatica/placas-de-video/rtx-5060-galax-ex-8-gb-gddr7-envio-p-todo-br-1411303662,R$ 2.799,"Juiz de Fora, Alto dos Passos",https://img.olx.com.br/images/72/728552533052439.webp,"3x de R$ 933,00","['Frete grátis', 'Pague Online', 'Parcelamento sem juros']","Ontem, 17:36",OLX
"RX 9060 XT, GIGABYTE GAMING OC, 16 GB, GDDR6 - ENVIO P/TODO BR",https://mg.olx.com.br/regiao-de-juiz-de-fora/informatica/placas-de-video/rx-9060-xt-gigabyte-gaming-oc-16-gb-gddr6-envio-p-todo-br-1411303336,R$ 3.499,"Juiz de Fora, Alto dos Passos",https://img.olx.com.br/images/55/554535779776056.webp,"3x de R$ 1.166,33","['Frete grátis', 'Pague Online', 'Parcelamento sem juros']","Ontem, 17:35",OLX
"RTX 5070, GIGABYTE GAMING OC - OPENBOX - ENVIO P/TODO BR",https://mg.olx.com.br/regiao-de-juiz-de-fora/informatica/placas-de-video/rtx-5070-gigabyte-gaming-oc-openbox-envio-p-todo-br-1411303278,R$ 4.799,"Juiz de Fora, Alto dos Passos",https://img.olx.com.br/images/85/858527298587447.webp,"3x de R$ 1.599,67","['Entrega Fácil', 'Pague Online', 'Parcelamento sem juros']","Ontem, 17:34",OLX
RTX 4090 Zotac ,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/rtx-4090-zotac-1411299488,R$ 11.900,"Brumadinho, Planalto I",https://img.olx.com.br/images/85/858540412165582.webp,"3x de R$ 3.966,67","['Pague Online', 'Parcelamento sem juros']","Ontem, 17:25",OLX
